property_id,adresse,by_og_zip,ejendomsværdi_2024,grundværdi_2024,ejendomsværdi_2022,grundværdi_2022
413,"Borgmester Jensens Allé 31D, 4 1",2100 København Ø,4.265.000 kr.,2.705.000 kr.,4.329.000 kr.,2.724.000 kr.
414,"Borgmester Jensens Allé 31D, 4 2",2100 København Ø,4.893.000 kr.,3.126.000 kr.,,
415,"Borgmester Jensens Allé 31D, 4 3",2100 København Ø,5.160.000 kr.,3.302.000 kr.,,
416,,,,,,
417,"Borgmester Jensens Allé 31D, 5 1",2100 København Ø,4.158.000 kr.,2.633.000 kr.,,
418,"Borgmester Jensens Allé 31D, 5 2",2100 København Ø,4.783.000 kr.,3.054.000 kr.,,
419,"Borgmester Jensens Allé 35, st tv",2100 København Ø,4.181.000 kr.,2.685.000 kr.,,
420,"Borgmester Jensens Allé 35, st th",2100 København Ø,4.181.000 kr.,2.685.000 kr.,,
421,"Borgmester Jensens Allé 35, 1 tv",2100 København Ø,5.499.000 kr.,3.545.000 kr.,,
422,"Borgmester Jensens Allé 35, 1 th",2100 København Ø,4.221.000 kr.,2.701.000 kr.,,
423,"Borgmester Jensens Allé 35, 2 tv",2100 København Ø,5.556.000 kr.,3.576.000 kr.,,
424,"Borgmester Jensens Allé 35, 2 th",2100 København Ø,4.264.000 kr.,2.724.000 kr.,,
425,"Borgmester Jensens Allé 35, 3 tv",2100 København Ø,5.643.000 kr.,3.624.000 kr.,,
426,"Borgmester Jensens Allé 35, 3 th",2100 København Ø,4.331.000 kr.,2.761.000 kr.,,
427,"Borgmester Jensens Allé 35, 4 tv",2100 København Ø,5.762.000 kr.,3.689.000 kr.,,
428,"Borgmester Jensens Allé 35, 4 th",2100 København Ø,4.422.000 kr.,2.811.000 kr.,,
429,"Borgmester Jensens Allé 35, 5 tv",2100 København Ø,5.536.000 kr.,3.546.000 kr.,,
430,"Borgmester Jensens Allé 35, 5 th",2100 København Ø,4.314.000 kr.,2.739.000 kr.,,
431,"Borgmester Jensens Allé 37, st tv",2100 København Ø,4.182.000 kr.,2.686.000 kr.,,
432,,,,,,
433,"Borgmester Jensens Allé 37, st th",2100 København Ø,4.976.000 kr.,3.217.000 kr.,,
434,"Borgmester Jensens Allé 37, 1 tv",2100 København Ø,5.501.000 kr.,3.545.000 kr.,,
435,"Borgmester Jensens Allé 37, 1 th",2100 København Ø,5.134.000 kr.,3.309.000 kr.,,
436,"Borgmester Jensens Allé 37, 2 tv",2100 København Ø,5.558.000 kr.,3.577.000 kr.,,
437,"Borgmester Jensens Allé 37, 2 th",2100 København Ø,5.186.000 kr.,3.338.000 kr.,,
438,"Borgmester Jensens Allé 37, 3 tv",2100 København Ø,5.645.000 kr.,3.625.000 kr.,,
439,"Borgmester Jensens Allé 37, 3 th",2100 København Ø,5.268.000 kr.,3.383.000 kr.,,
440,"Borgmester Jensens Allé 37, 4 tv",2100 København Ø,5.764.000 kr.,3.690.000 kr.,,
441,"Borgmester Jensens Allé 37, 4 th",2100 København Ø,5.378.000 kr.,3.444.000 kr.,,
442,"Borgmester Jensens Allé 37, 5 tv",2100 København Ø,5.538.000 kr.,3.547.000 kr.,,
443,"Borgmester Jensens Allé 37, 5 th",2100 København Ø,5.212.000 kr.,3.337.000 kr.,,
444,"Borgmester Jensens Allé 39, st",2100 København Ø,3.843.000 kr.,2.455.000 kr.,,
445,"Borgmester Jensens Allé 41, st 1",2100 København Ø,4.721.000 kr.,3.055.000 kr.,,
446,"Borgmester Jensens Allé 41, st 2",2100 København Ø,3.752.000 kr.,2.398.000 kr.,,
447,"Borgmester Jensens Allé 41, 1 1",2100 København Ø,4.822.000 kr.,3.110.000 kr.,,
448,,,,,,
449,"Borgmester Jensens Allé 41, 1 2",2100 København Ø,3.832.000 kr.,2.442.000 kr.,,
450,"Borgmester Jensens Allé 41, 1 3",2100 København Ø,4.422.000 kr.,2.843.000 kr.,,
451,"Borgmester Jensens Allé 41, 2 1",2100 København Ø,4.871.000 kr.,3.137.000 kr.,,
452,"Borgmester Jensens Allé 41, 2 2",2100 København Ø,4.019.000 kr.,2.564.000 kr.,,
453,"Borgmester Jensens Allé 41, 2 3",2100 København Ø,4.517.000 kr.,2.902.000 kr.,,
454,"Borgmester Jensens Allé 41, 3 1",2100 København Ø,4.948.000 kr.,3.180.000 kr.,,
455,"Borgmester Jensens Allé 41, 3 2",2100 København Ø,4.793.000 kr.,3.078.000 kr.,,
